DATETIME,TANGARA_260A,TANGARA_14D6,TANGARA_2B42,TANGARA_2E9A,TANGARA_2FF6,TANGARA_307A,TANGARA_1712,TANGARA_48C6,TANGARA_532E,TANGARA_F1AE,TANGARA_06BE
2023-10-31 00:00:00-05:00,,59.0,55.0,54.0,54.0,52.0,44.0,40.0,48.0,55.0,58.0
2023-10-31 01:00:00-05:00,,59.0,55.0,54.0,54.0,52.0,45.0,41.0,48.0,55.0,58.0
2023-10-31 02:00:00-05:00,,60.0,55.0,54.0,55.0,52.0,45.0,42.0,48.0,56.0,58.0
2023-10-31 03:00:00-05:00,,60.0,55.0,54.0,54.0,52.0,45.0,41.0,48.0,56.0,58.0
2023-10-31 04:00:00-05:00,,60.0,55.0,54.0,54.0,52.0,45.0,42.0,48.0,56.0,58.0
2023-10-31 05:00:00-05:00,,59.0,55.0,54.0,54.0,53.0,46.0,42.0,48.0,55.0,58.0
2023-10-31 06:00:00-05:00,,59.0,56.0,55.0,55.0,54.0,48.0,42.0,49.0,55.0,58.0
2023-10-31 07:00:00-05:00,,60.0,57.0,55.0,55.0,54.0,50.0,43.0,51.0,56.0,58.0
2023-10-31 08:00:00-05:00,,61.0,57.0,56.0,56.0,56.0,52.0,45.0,52.0,57.0,59.0
2023-10-31 09:00:00-05:00,,62.0,58.0,57.0,58.0,57.0,52.0,46.0,53.0,58.0,61.0
2023-10-31 10:00:00-05:00,,62.0,59.0,58.0,59.0,57.0,53.0,48.0,54.0,58.0,61.0
2023-10-31 11:00:00-05:00,,62.0,60.0,59.0,60.0,58.0,54.0,49.0,54.0,58.0,63.0
2023-10-31 12:00:00-05:00,,61.0,59.0,58.0,61.0,59.0,54.0,48.0,53.0,57.0,64.0
2023-10-31 13:00:00-05:00,,59.0,58.0,55.0,61.0,60.0,55.0,46.0,48.0,55.0,64.0
2023-10-31 14:00:00-05:00,,56.0,55.0,52.0,61.0,61.0,56.0,43.0,42.0,53.0,64.0
2023-10-31 15:00:00-05:00,,54.0,50.0,44.0,59.0,62.0,58.0,38.0,35.0,49.0,62.0
2023-10-31 16:00:00-05:00,,52.0,43.0,36.0,57.0,63.0,58.0,35.0,29.0,48.0,57.0
2023-10-31 17:00:00-05:00,,52.0,35.0,28.0,54.0,62.0,57.0,33.0,23.0,47.0,52.0
2023-10-31 18:00:00-05:00,,50.0,31.0,24.0,52.0,61.0,57.0,31.0,20.0,46.0,43.0
2023-10-31 19:00:00-05:00,,52.0,36.0,23.0,54.0,60.0,55.0,28.0,21.0,47.0,40.0
2023-10-31 20:00:00-05:00,,53.0,39.0,23.0,59.0,58.0,54.0,29.0,23.0,50.0,52.0
2023-10-31 21:00:00-05:00,,54.0,43.0,25.0,63.0,58.0,54.0,31.0,24.0,52.0,
2023-10-31 22:00:00-05:00,,44.0,50.0,30.0,64.0,58.0,54.0,33.0,30.0,42.0,
2023-10-31 23:00:00-05:00,,43.0,63.0,45.0,65.0,56.0,52.0,26.0,49.0,40.0,
