DATETIME,TANGARA_4B1A,TANGARA_14D6,TANGARA_2B42,TANGARA_2E9A,TANGARA_2FF6,TANGARA_307A,TANGARA_1712,TANGARA_48C6,TANGARA_532E,TANGARA_F1AE,TANGARA_06BE
2023-11-02 00:00:00-05:00,48.0,54.0,39.0,37.0,36.0,35.0,29.0,32.0,30.0,48.0,50.0
2023-11-02 01:00:00-05:00,48.0,55.0,40.0,38.0,36.0,35.0,29.0,33.0,31.0,49.0,50.0
2023-11-02 02:00:00-05:00,47.0,55.0,40.0,40.0,36.0,35.0,31.0,33.0,32.0,49.0,49.0
2023-11-02 03:00:00-05:00,46.0,54.0,41.0,41.0,36.0,35.0,32.0,33.0,33.0,48.0,49.0
2023-11-02 04:00:00-05:00,46.0,54.0,43.0,43.0,36.0,35.0,34.0,32.0,35.0,46.0,49.0
2023-11-02 05:00:00-05:00,46.0,53.0,43.0,44.0,36.0,35.0,36.0,31.0,36.0,45.0,49.0
2023-11-02 06:00:00-05:00,44.0,52.0,44.0,46.0,37.0,35.0,38.0,30.0,36.0,43.0,50.0
2023-11-02 07:00:00-05:00,41.0,49.0,45.0,47.0,37.0,35.0,40.0,30.0,37.0,40.0,50.0
2023-11-02 08:00:00-05:00,39.0,48.0,45.0,48.0,36.0,35.0,41.0,30.0,38.0,39.0,50.0
2023-11-02 09:00:00-05:00,38.0,45.0,44.0,48.0,36.0,35.0,40.0,29.0,37.0,37.0,50.0
2023-11-02 10:00:00-05:00,37.0,43.0,44.0,48.0,36.0,35.0,39.0,29.0,36.0,35.0,50.0
2023-11-02 11:00:00-05:00,37.0,40.0,44.0,48.0,37.0,35.0,35.0,29.0,33.0,33.0,50.0
2023-11-02 12:00:00-05:00,37.0,38.0,43.0,48.0,36.0,35.0,29.0,29.0,31.0,31.0,50.0
2023-11-02 13:00:00-05:00,37.0,36.0,43.0,47.0,36.0,35.0,,29.0,25.0,30.0,50.0
2023-11-02 14:00:00-05:00,37.0,34.0,43.0,48.0,37.0,36.0,,30.0,21.0,28.0,50.0
2023-11-02 15:00:00-05:00,37.0,34.0,44.0,49.0,38.0,37.0,,30.0,18.0,28.0,52.0
2023-11-02 16:00:00-05:00,38.0,36.0,47.0,52.0,40.0,40.0,,32.0,20.0,31.0,54.0
2023-11-02 17:00:00-05:00,40.0,39.0,52.0,55.0,43.0,42.0,,33.0,19.0,32.0,56.0
2023-11-02 18:00:00-05:00,41.0,39.0,55.0,56.0,46.0,43.0,,35.0,,33.0,56.0
2023-11-02 19:00:00-05:00,43.0,42.0,58.0,58.0,50.0,47.0,,36.0,,35.0,58.0
2023-11-02 20:00:00-05:00,47.0,45.0,60.0,59.0,53.0,48.0,,36.0,,36.0,58.0
2023-11-02 21:00:00-05:00,50.0,49.0,61.0,59.0,55.0,49.0,,37.0,,38.0,58.0
2023-11-02 22:00:00-05:00,54.0,52.0,61.0,62.0,58.0,51.0,,40.0,,41.0,60.0
2023-11-02 23:00:00-05:00,53.0,57.0,60.0,60.0,63.0,52.0,,41.0,,50.0,63.0
