DATETIME,TANGARA_4B1A,TANGARA_14D6,TANGARA_2B42,TANGARA_2E9A,TANGARA_2FF6,TANGARA_307A,TANGARA_1712,TANGARA_48C6,TANGARA_532E,TANGARA_F1AE,TANGARA_06BE
2023-11-01 00:00:00-05:00,,,26.24,,,,,,24.5,27.22,
2023-11-01 00:00:30-05:00,25.02,26.31,26.23,30.01,26.29,26.59,24.93,26.4,24.5,27.2,26.62
2023-11-01 00:01:00-05:00,25.04,26.31,26.22,30.01,26.25,26.53,24.93,26.4,24.5,27.25,26.68
2023-11-01 00:01:30-05:00,25.02,26.26,26.2,29.94,26.25,26.53,24.94,26.4,24.4,27.22,26.73
2023-11-01 00:02:00-05:00,25.01,26.28,26.19,29.96,26.26,26.52,24.97,26.4,24.4,27.21,26.73
2023-11-01 00:02:30-05:00,24.99,26.22,26.19,29.93,26.23,26.5,24.97,26.4,24.4,27.22,26.76
2023-11-01 00:03:00-05:00,24.99,26.24,26.19,29.91,26.26,26.46,24.97,26.3,24.4,27.24,26.82
2023-11-01 00:03:30-05:00,24.99,26.22,26.17,29.91,26.23,26.43,24.97,26.4,24.4,27.22,26.79
2023-11-01 00:04:00-05:00,24.99,26.21,26.19,29.93,26.26,26.45,24.97,26.3,24.4,27.18,26.8
2023-11-01 00:04:30-05:00,24.98,26.21,26.19,29.93,26.22,26.43,24.98,26.3,24.4,27.21,26.8
2023-11-01 00:05:00-05:00,24.99,26.21,26.16,29.91,26.23,26.43,24.97,26.3,24.4,27.21,26.82
2023-11-01 00:05:30-05:00,24.99,26.19,26.2,29.94,26.21,26.42,24.97,26.4,24.4,27.2,26.82
2023-11-01 00:06:00-05:00,25.02,26.21,26.22,29.93,26.25,26.42,24.97,26.4,24.4,27.21,26.82
2023-11-01 00:06:30-05:00,25.01,26.22,26.2,29.91,26.23,26.42,24.93,26.3,24.3,27.18,26.8
2023-11-01 00:07:00-05:00,25.02,26.24,26.19,29.93,26.26,26.46,24.94,26.4,24.3,27.22,26.82
2023-11-01 00:07:30-05:00,24.99,26.21,26.2,29.9,26.22,26.45,24.94,26.3,24.3,27.21,26.8
2023-11-01 00:08:00-05:00,25.01,26.22,26.19,29.89,26.23,26.46,24.93,26.4,24.3,27.24,26.79
2023-11-01 00:08:30-05:00,24.99,26.21,,29.89,26.23,26.45,24.91,26.3,24.4,27.24,26.79
2023-11-01 00:09:00-05:00,25.01,26.18,26.19,29.89,26.23,26.46,24.9,26.4,24.4,27.24,26.79
2023-11-01 00:09:30-05:00,24.96,26.15,26.22,29.86,26.25,26.46,24.9,26.3,24.4,27.24,26.8
2023-11-01 00:10:00-05:00,24.99,26.15,26.2,29.89,26.23,26.48,24.88,26.4,24.4,27.25,26.8
2023-11-01 00:10:30-05:00,24.99,26.15,26.17,29.93,26.23,26.46,24.86,26.4,24.4,27.27,26.8
