DATETIME,TANGARA_2BBA,TANGARA_260A,TANGARA_4B1A,TANGARA_14D6,TANGARA_2B42,TANGARA_2E9A,TANGARA_2FF6,TANGARA_307A,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-11-05 00:00:00-05:00,,24.0,25.0,27.0,27.0,23.0,26.0,,20.0,23.0,30.0
2023-11-05 01:00:00-05:00,,24.0,25.0,27.0,25.0,22.0,25.0,,20.0,23.0,30.0
2023-11-05 02:00:00-05:00,,24.0,25.0,26.0,25.0,21.0,25.0,,20.0,23.0,30.0
2023-11-05 03:00:00-05:00,,24.0,25.0,26.0,25.0,21.0,25.0,,20.0,23.0,30.0
2023-11-05 04:00:00-05:00,,25.0,25.0,27.0,25.0,21.0,25.0,,21.0,23.0,31.0
2023-11-05 05:00:00-05:00,,25.0,25.0,27.0,25.0,21.0,25.0,,21.0,24.0,31.0
2023-11-05 06:00:00-05:00,,25.0,26.0,26.0,25.0,21.0,25.0,,20.0,23.0,31.0
2023-11-05 07:00:00-05:00,,25.0,26.0,26.0,24.0,20.0,25.0,,20.0,24.0,31.0
2023-11-05 08:00:00-05:00,,25.0,25.0,27.0,23.0,20.0,25.0,,20.0,24.0,31.0
2023-11-05 09:00:00-05:00,,24.0,25.0,26.0,23.0,19.0,26.0,,20.0,23.0,31.0
2023-11-05 10:00:00-05:00,,24.0,25.0,26.0,23.0,18.0,27.0,,21.0,23.0,32.0
2023-11-05 11:00:00-05:00,,24.0,26.0,25.0,23.0,18.0,28.0,,22.0,23.0,34.0
2023-11-05 12:00:00-05:00,,24.0,26.0,25.0,24.0,18.0,29.0,,23.0,23.0,36.0
2023-11-05 13:00:00-05:00,,24.0,27.0,25.0,25.0,18.0,31.0,,24.0,24.0,38.0
2023-11-05 14:00:00-05:00,,24.0,27.0,26.0,24.0,18.0,31.0,,24.0,25.0,37.0
2023-11-05 15:00:00-05:00,,23.0,27.0,27.0,24.0,18.0,31.0,,23.0,25.0,36.0
2023-11-05 16:00:00-05:00,,24.0,29.0,28.0,25.0,17.0,31.0,,24.0,26.0,36.0
2023-11-05 17:00:00-05:00,,25.0,31.0,29.0,25.0,16.0,32.0,,25.0,28.0,37.0
2023-11-05 18:00:00-05:00,,25.0,32.0,32.0,26.0,15.0,34.0,,24.0,30.0,38.0
2023-11-05 19:00:00-05:00,,27.0,33.0,33.0,27.0,15.0,38.0,,25.0,31.0,43.0
2023-11-05 20:00:00-05:00,,29.0,32.0,36.0,29.0,14.0,40.0,,28.0,33.0,45.0
2023-11-05 21:00:00-05:00,,31.0,30.0,40.0,33.0,14.0,37.0,,34.0,36.0,42.0
2023-11-05 22:00:00-05:00,,29.0,23.0,42.0,37.0,15.0,36.0,,33.0,39.0,41.0
2023-11-05 23:00:00-05:00,,29.0,26.0,39.0,41.0,14.0,34.0,,30.0,39.0,42.0
