DATETIME,TANGARA_260A,TANGARA_4B1A,TANGARA_14D6,TANGARA_2B42,TANGARA_2E9A,TANGARA_2FF6,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-11-06 00:00:00-05:00,29.0,35.0,29.0,30.0,24.0,38.0,24.0,26.0,44.0
2023-11-06 01:00:00-05:00,30.0,35.0,29.0,30.0,25.0,38.0,24.0,26.0,44.0
2023-11-06 02:00:00-05:00,31.0,36.0,30.0,30.0,25.0,38.0,24.0,27.0,44.0
2023-11-06 03:00:00-05:00,31.0,36.0,30.0,30.0,25.0,39.0,24.0,27.0,44.0
2023-11-06 04:00:00-05:00,31.0,36.0,30.0,30.0,25.0,40.0,25.0,27.0,45.0
2023-11-06 05:00:00-05:00,32.0,38.0,30.0,31.0,25.0,41.0,25.0,28.0,46.0
2023-11-06 06:00:00-05:00,33.0,39.0,30.0,31.0,26.0,41.0,26.0,28.0,48.0
2023-11-06 07:00:00-05:00,33.0,40.0,31.0,32.0,26.0,41.0,27.0,28.0,48.0
2023-11-06 08:00:00-05:00,33.0,41.0,30.0,32.0,27.0,42.0,27.0,28.0,50.0
2023-11-06 09:00:00-05:00,32.0,42.0,28.0,31.0,25.0,40.0,27.0,27.0,49.0
2023-11-06 10:00:00-05:00,29.0,44.0,27.0,29.0,25.0,40.0,27.0,26.0,49.0
2023-11-06 11:00:00-05:00,27.0,45.0,26.0,29.0,24.0,38.0,26.0,26.0,48.0
2023-11-06 12:00:00-05:00,27.0,47.0,26.0,28.0,23.0,38.0,27.0,26.0,48.0
2023-11-06 13:00:00-05:00,28.0,50.0,28.0,28.0,23.0,40.0,28.0,27.0,49.0
2023-11-06 14:00:00-05:00,29.0,53.0,29.0,29.0,23.0,41.0,30.0,28.0,51.0
2023-11-06 15:00:00-05:00,35.0,54.0,30.0,28.0,23.0,43.0,31.0,30.0,53.0
2023-11-06 16:00:00-05:00,48.0,56.0,33.0,28.0,22.0,45.0,32.0,32.0,54.0
2023-11-06 17:00:00-05:00,48.0,58.0,33.0,28.0,22.0,47.0,33.0,34.0,55.0
2023-11-06 18:00:00-05:00,48.0,58.0,34.0,28.0,22.0,48.0,34.0,36.0,56.0
2023-11-06 19:00:00-05:00,48.0,58.0,34.0,25.0,20.0,49.0,32.0,37.0,57.0
2023-11-06 20:00:00-05:00,48.0,58.0,37.0,29.0,19.0,51.0,36.0,40.0,57.0
2023-11-06 21:00:00-05:00,48.0,58.0,40.0,31.0,20.0,50.0,43.0,46.0,57.0
2023-11-06 22:00:00-05:00,,57.0,50.0,34.0,20.0,48.0,48.0,46.0,55.0
2023-11-06 23:00:00-05:00,,55.0,,36.0,18.0,47.0,46.0,,56.0
