DATETIME,TANGARA_260A,TANGARA_4B1A,TANGARA_14D6,TANGARA_2B42,TANGARA_2E9A,TANGARA_2FF6,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-11-07 00:00:00-05:00,,,,72.33,,,,66.23,
2023-11-07 00:00:30-05:00,68.96,77.04,71.19,72.31,63.1,81.58,99.9,66.28,73.83
2023-11-07 00:01:00-05:00,69.09,77.1,71.23,72.36,63.21,81.78,99.9,66.33,73.76
2023-11-07 00:01:30-05:00,68.84,77.11,71.29,72.33,63.5,81.81,99.9,66.35,73.69
2023-11-07 00:02:00-05:00,68.69,76.89,71.23,72.29,63.5,81.86,99.9,66.32,73.52
2023-11-07 00:02:30-05:00,68.73,77.06,71.43,72.3,63.5,81.93,99.9,66.25,73.63
2023-11-07 00:03:00-05:00,68.77,77.05,71.55,72.27,63.41,81.97,99.9,66.19,73.58
2023-11-07 00:03:30-05:00,68.76,76.98,71.72,72.18,63.47,81.99,99.9,66.21,73.56
2023-11-07 00:04:00-05:00,68.85,76.93,71.81,72.2,63.4,82.03,99.9,66.24,73.58
2023-11-07 00:04:30-05:00,68.83,76.9,71.85,72.17,63.3,81.97,99.9,66.23,73.62
2023-11-07 00:05:00-05:00,68.92,77.03,71.68,72.13,63.16,82.0,99.9,66.17,73.58
2023-11-07 00:05:30-05:00,68.94,77.08,71.63,72.17,63.69,82.0,99.9,66.11,73.71
2023-11-07 00:06:00-05:00,68.96,77.07,71.54,72.1,63.73,82.0,99.9,66.07,73.55
2023-11-07 00:06:30-05:00,68.95,77.06,71.65,72.14,63.48,82.01,99.9,66.1,73.51
2023-11-07 00:07:00-05:00,69.0,77.07,71.89,72.16,63.19,82.01,99.9,66.07,73.43
2023-11-07 00:07:30-05:00,69.09,77.05,71.63,72.21,63.42,81.98,99.9,65.95,73.55
2023-11-07 00:08:00-05:00,69.17,77.08,71.54,72.29,63.23,81.97,99.9,65.85,73.33
2023-11-07 00:08:30-05:00,69.42,77.25,71.29,72.46,63.32,81.9,99.9,65.91,73.48
2023-11-07 00:09:00-05:00,69.21,77.16,71.25,72.61,63.33,81.93,99.9,65.94,73.52
