DATETIME,TANGARA_260A,TANGARA_4B1A,TANGARA_14D6,TANGARA_2B42,TANGARA_2E9A,TANGARA_2FF6,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE,TANGARA_307A
2023-11-09 00:00:30-05:00,60.77,73.14,,66.32,61.98,72.15,99.9,61.28,66.38,
2023-11-09 00:01:00-05:00,60.8,73.19,64.79,66.25,62.01,72.31,99.9,61.54,66.25,
2023-11-09 00:01:30-05:00,60.76,73.28,64.86,66.43,61.92,72.39,99.9,61.76,66.31,
2023-11-09 00:02:00-05:00,60.75,73.37,64.83,66.5,62.05,72.45,99.9,61.89,66.25,
2023-11-09 00:02:30-05:00,60.79,73.45,64.86,,62.03,72.52,99.9,61.98,66.2,
2023-11-09 00:03:00-05:00,60.76,73.46,64.89,66.56,62.1,72.71,99.9,62.05,66.17,
2023-11-09 00:03:30-05:00,60.73,73.47,64.9,66.45,62.14,72.78,99.9,62.07,66.24,
2023-11-09 00:04:00-05:00,60.89,73.54,64.99,66.48,62.07,72.82,99.9,62.03,66.25,
2023-11-09 00:04:30-05:00,60.78,73.55,64.93,66.61,62.07,72.94,99.9,62.08,66.29,
2023-11-09 00:05:00-05:00,60.8,73.53,64.95,66.61,62.04,73.03,99.9,62.06,66.32,
2023-11-09 00:05:30-05:00,60.76,73.62,64.95,66.64,61.97,73.06,99.9,62.01,66.27,
2023-11-09 00:06:00-05:00,60.8,73.6,65.0,66.44,62.08,73.12,99.9,61.83,66.23,
2023-11-09 00:06:30-05:00,60.8,73.66,65.04,66.37,62.02,73.2,99.9,61.8,66.13,
2023-11-09 00:07:00-05:00,60.66,73.75,65.01,66.37,62.03,73.29,99.9,61.82,66.14,
2023-11-09 00:07:30-05:00,60.68,73.82,65.04,66.37,61.83,73.32,99.9,61.69,66.19,
2023-11-09 00:08:00-05:00,60.64,73.79,65.03,66.37,61.9,73.33,99.9,61.65,66.16,
2023-11-09 00:08:30-05:00,60.65,73.82,65.02,66.33,61.9,73.35,99.9,61.6,66.15,
2023-11-09 00:09:00-05:00,60.44,73.79,65.02,66.38,61.86,73.39,99.9,61.64,66.2,
2023-11-09 00:09:30-05:00,60.43,73.9,65.04,66.47,61.82,73.48,99.9,61.71,66.22,
2023-11-09 00:10:00-05:00,60.43,73.95,65.09,,61.81,73.55,99.9,61.79,66.24,
2023-11-09 00:10:30-05:00,60.35,73.95,65.1,66.53,61.8,73.59,99.9,61.85,66.31,
2023-11-09 00:11:00-05:00,60.41,73.97,65.15,66.48,61.83,73.61,99.9,61.92,66.36,
2023-11-09 00:11:30-05:00,60.5,74.04,65.2,66.57,61.92,73.65,99.9,61.98,66.36,
2023-11-09 00:12:00-05:00,60.49,74.02,65.39,66.6,61.79,73.69,99.9,62.02,66.42,
2023-11-09 00:12:30-05:00,60.55,74.06,65.74,66.58,61.9,73.51,99.9,62.04,66.3,
2023-11-09 00:13:00-05:00,60.58,74.2,66.03,66.36,61.88,73.52,,62.04,66.44,
2023-11-09 00:13:30-05:00,60.61,74.16,66.22,66.22,61.94,73.49,99.9,62.07,66.47,
2023-11-09 00:14:00-05:00,60.69,74.18,66.38,66.2,61.84,73.63,99.9,62.1,66.54,
2023-11-09 00:14:30-05:00,60.72,,66.61,66.22,61.82,73.66,99.9,62.19,66.55,
2023-11-09 00:15:00-05:00,60.76,74.18,,66.28,61.85,73.69,99.9,62.25,66.73,
2023-11-09 00:15:30-05:00,60.74,74.28,66.71,66.2,61.95,73.68,99.9,62.28,66.81,
2023-11-09 00:16:00-05:00,60.77,74.2,66.92,66.26,61.87,73.75,99.9,62.26,66.94,
2023-11-09 00:16:30-05:00,60.84,74.29,67.01,66.29,61.74,73.71,99.9,62.38,67.13,
2023-11-09 00:17:00-05:00,60.81,74.21,67.12,66.36,61.77,73.68,99.9,62.43,66.87,
2023-11-09 00:17:30-05:00,61.01,74.24,67.32,66.32,61.79,73.78,99.9,62.43,66.85,
2023-11-09 00:18:00-05:00,61.06,74.28,67.5,66.41,61.8,73.78,99.9,62.42,66.94,
2023-11-09 00:18:30-05:00,61.25,74.4,67.57,66.37,61.9,73.81,99.9,62.36,66.9,
2023-11-09 00:19:00-05:00,61.51,74.5,67.67,66.27,61.92,73.9,99.9,62.39,66.91,
2023-11-09 00:19:30-05:00,61.36,74.44,67.81,66.31,61.93,73.84,99.9,62.41,66.63,
2023-11-09 00:20:00-05:00,61.78,74.46,67.97,66.26,61.87,73.85,99.9,62.45,66.61,
2023-11-09 00:20:30-05:00,61.93,74.5,67.98,66.23,61.85,73.87,99.9,62.45,66.95,
2023-11-09 00:21:00-05:00,62.01,74.5,68.11,66.17,62.02,73.98,99.9,62.47,67.02,
2023-11-09 00:21:30-05:00,61.92,74.51,68.16,66.23,62.27,74.06,99.9,62.5,67.13,
2023-11-09 00:22:00-05:00,61.94,74.54,68.35,66.2,62.47,74.01,99.9,62.54,67.22,
2023-11-09 00:22:30-05:00,62.27,74.52,68.41,66.19,,74.27,99.9,62.53,67.13,
2023-11-09 00:23:00-05:00,62.21,74.55,68.42,66.14,63.0,74.32,99.9,62.63,67.11,
2023-11-09 00:23:30-05:00,62.43,74.6,68.55,66.18,62.77,74.3,,62.68,67.05,
2023-11-09 00:24:00-05:00,62.64,74.65,68.67,66.18,62.46,74.35,99.9,62.68,67.07,
2023-11-09 00:24:30-05:00,62.79,74.59,68.78,66.15,62.33,74.54,99.9,62.76,67.2,
2023-11-09 00:25:00-05:00,63.0,74.59,68.9,66.15,62.33,74.58,99.9,62.79,67.19,
2023-11-09 00:25:30-05:00,63.18,74.67,69.0,66.12,62.3,74.6,99.9,62.85,67.32,
2023-11-09 00:26:00-05:00,63.21,,69.07,66.1,62.32,74.69,99.9,62.88,67.2,
2023-11-09 00:26:30-05:00,63.21,74.6,69.07,66.06,62.54,74.67,99.9,62.91,67.32,
2023-11-09 00:27:00-05:00,63.23,74.62,69.05,66.07,62.25,74.69,99.9,62.91,67.47,
2023-11-09 00:27:30-05:00,63.13,74.79,69.15,66.1,62.61,74.86,99.9,62.94,67.5,
