DATETIME,TANGARA_260A,TANGARA_4B1A,TANGARA_14D6,TANGARA_2B42,TANGARA_2E9A,TANGARA_2FF6,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE,TANGARA_307A
2023-11-09 00:00:30-05:00,29.63,27.26,,28.04,30.16,29.27,29.7,29.84,29.36,
2023-11-09 00:01:00-05:00,29.62,27.29,29.12,28.05,30.14,29.26,29.7,29.83,29.36,
2023-11-09 00:01:30-05:00,29.57,27.24,29.13,28.02,30.11,29.23,29.7,29.82,29.38,
2023-11-09 00:02:00-05:00,29.59,27.22,29.1,28.04,30.09,29.22,29.6,29.82,29.41,
2023-11-09 00:02:30-05:00,29.57,27.17,29.09,,30.04,29.2,29.6,29.8,29.43,
2023-11-09 00:03:00-05:00,29.59,27.16,29.1,27.98,30.04,29.17,29.5,29.79,29.43,
2023-11-09 00:03:30-05:00,29.56,27.13,29.04,27.98,30.07,29.17,29.5,29.82,29.44,
2023-11-09 00:04:00-05:00,29.56,27.1,29.04,27.97,30.1,29.17,29.5,29.76,29.44,
2023-11-09 00:04:30-05:00,29.57,27.09,29.04,27.97,30.1,29.13,29.4,29.77,29.44,
2023-11-09 00:05:00-05:00,29.55,27.07,29.06,27.95,30.1,29.11,29.5,29.76,29.43,
2023-11-09 00:05:30-05:00,29.53,27.02,29.06,27.95,30.09,29.16,29.4,29.76,29.47,
2023-11-09 00:06:00-05:00,29.57,27.0,29.03,27.95,30.13,29.11,29.4,29.77,29.47,
2023-11-09 00:06:30-05:00,29.55,26.96,29.04,27.95,30.14,29.13,29.4,29.76,29.46,
2023-11-09 00:07:00-05:00,29.53,26.93,29.03,27.95,30.17,29.16,29.3,29.76,29.48,
2023-11-09 00:07:30-05:00,29.53,26.95,29.03,27.95,30.17,29.13,29.3,29.75,29.43,
2023-11-09 00:08:00-05:00,29.53,26.91,29.02,27.98,30.17,29.13,29.2,29.7,29.46,
2023-11-09 00:08:30-05:00,29.52,26.91,29.03,28.0,30.2,29.11,29.2,29.75,29.44,
2023-11-09 00:09:00-05:00,29.52,26.89,29.03,28.0,30.24,29.07,29.2,29.73,29.44,
2023-11-09 00:09:30-05:00,29.49,26.88,29.03,28.01,30.24,29.04,29.2,29.72,29.41,
2023-11-09 00:10:00-05:00,29.49,26.83,29.04,,30.24,29.04,29.1,29.69,29.4,
2023-11-09 00:10:30-05:00,29.47,26.82,29.02,28.02,30.18,29.03,29.1,29.7,29.41,
2023-11-09 00:11:00-05:00,29.45,26.82,29.02,28.04,30.17,29.04,29.1,29.67,29.4,
2023-11-09 00:11:30-05:00,29.45,26.79,29.0,28.02,30.2,29.04,29.1,29.67,29.4,
2023-11-09 00:12:00-05:00,29.45,26.76,28.99,28.05,30.2,29.03,29.0,29.69,29.4,
2023-11-09 00:12:30-05:00,29.42,26.75,29.0,28.02,30.18,28.98,29.0,29.66,29.41,
2023-11-09 00:13:00-05:00,29.39,26.75,28.98,28.06,30.16,28.99,,29.65,29.38,
2023-11-09 00:13:30-05:00,29.39,26.73,28.98,28.06,30.16,28.98,28.9,29.62,29.38,
2023-11-09 00:14:00-05:00,29.4,26.73,28.93,28.06,30.16,28.92,28.9,29.62,29.37,
2023-11-09 00:14:30-05:00,29.42,,28.91,28.04,30.14,28.9,28.9,29.62,29.36,
2023-11-09 00:15:00-05:00,29.39,26.73,,28.02,30.13,28.89,28.8,29.59,29.34,
2023-11-09 00:15:30-05:00,29.39,26.68,28.86,28.04,30.17,28.88,28.8,29.56,29.37,
2023-11-09 00:16:00-05:00,29.36,26.71,28.82,28.04,30.18,28.85,28.7,29.56,29.33,
2023-11-09 00:16:30-05:00,29.35,26.69,28.82,28.01,30.18,28.83,28.7,29.56,29.33,
2023-11-09 00:17:00-05:00,29.39,26.68,28.78,28.01,30.21,28.83,28.7,29.55,29.33,
2023-11-09 00:17:30-05:00,29.39,26.67,28.74,28.02,30.18,28.86,28.6,29.56,29.34,
2023-11-09 00:18:00-05:00,29.36,26.63,28.68,28.02,30.17,28.83,28.6,29.52,29.36,
2023-11-09 00:18:30-05:00,29.35,26.63,28.68,28.02,30.17,28.85,28.6,29.5,29.33,
2023-11-09 00:19:00-05:00,29.3,26.62,28.62,28.02,30.16,28.8,28.6,29.48,29.3,
2023-11-09 00:19:30-05:00,29.29,26.62,28.6,28.05,30.17,28.83,28.5,29.48,29.33,
2023-11-09 00:20:00-05:00,29.26,26.61,28.58,28.05,30.17,28.8,28.5,29.48,29.34,
2023-11-09 00:20:30-05:00,29.23,26.58,28.55,28.08,30.21,28.82,28.5,29.45,29.32,
2023-11-09 00:21:00-05:00,29.22,26.59,28.54,28.08,30.21,28.78,28.5,29.43,29.3,
2023-11-09 00:21:30-05:00,29.2,26.58,28.49,28.11,30.18,28.76,28.5,29.41,29.32,
2023-11-09 00:22:00-05:00,29.19,26.56,28.47,28.11,30.18,28.75,28.4,29.41,29.3,
2023-11-09 00:22:30-05:00,29.18,26.56,28.43,28.12,,28.74,28.4,29.39,29.32,
2023-11-09 00:23:00-05:00,29.16,26.56,28.4,28.11,30.16,28.75,28.4,29.38,29.32,
2023-11-09 00:23:30-05:00,29.14,26.55,28.38,28.12,30.18,28.74,,29.38,29.33,
2023-11-09 00:24:00-05:00,29.14,26.55,28.35,28.13,30.18,28.72,28.3,29.33,29.34,
2023-11-09 00:24:30-05:00,29.14,26.53,28.35,28.13,30.21,28.74,28.3,29.32,29.32,
2023-11-09 00:25:00-05:00,29.12,26.51,28.3,28.13,30.24,28.69,28.3,29.28,29.25,
2023-11-09 00:25:30-05:00,29.06,26.51,28.25,28.13,30.27,28.74,28.3,29.28,29.27,
2023-11-09 00:26:00-05:00,29.04,,28.25,28.15,30.33,28.72,28.3,29.29,29.25,
2023-11-09 00:26:30-05:00,29.08,26.51,28.24,28.16,30.34,28.69,28.2,29.28,29.26,
2023-11-09 00:27:00-05:00,29.06,26.53,28.2,28.19,30.41,28.71,28.2,29.26,29.19,
2023-11-09 00:27:30-05:00,29.04,26.49,28.18,28.2,30.43,28.68,28.2,29.25,29.17,
2023-11-09 00:28:00-05:00,29.05,26.48,28.2,28.18,30.47,28.68,28.2,29.25,29.16,
2023-11-09 00:28:30-05:00,29.04,26.47,28.14,28.18,30.49,28.68,28.2,29.24,29.13,
2023-11-09 00:29:00-05:00,29.01,26.49,,28.18,30.53,28.65,28.1,29.21,29.13,
2023-11-09 00:29:30-05:00,28.99,26.48,28.12,28.19,30.53,28.62,28.1,29.19,29.13,
2023-11-09 00:30:00-05:00,28.95,26.48,28.13,28.18,30.56,28.64,28.0,29.21,29.14,
2023-11-09 00:30:30-05:00,28.96,26.48,28.14,28.22,30.61,28.62,28.0,29.16,29.13,
2023-11-09 00:31:00-05:00,28.92,26.48,28.12,28.23,30.63,28.58,28.0,29.16,29.13,
2023-11-09 00:31:30-05:00,28.94,26.45,28.09,28.25,30.67,28.58,27.9,29.16,29.09,
2023-11-09 00:32:00-05:00,28.88,26.47,28.09,28.23,30.68,28.58,28.0,29.16,29.1,
2023-11-09 00:32:30-05:00,28.91,26.48,28.04,28.22,30.74,28.56,28.0,29.12,29.1,
2023-11-09 00:33:00-05:00,28.87,26.45,28.04,28.25,30.78,28.56,28.0,29.11,29.11,
2023-11-09 00:33:30-05:00,28.87,26.47,28.04,28.22,30.79,28.59,27.9,29.11,29.1,
2023-11-09 00:34:00-05:00,28.85,26.45,,28.25,30.84,28.56,27.9,29.11,29.06,
2023-11-09 00:34:30-05:00,28.84,26.42,28.02,28.25,30.84,28.53,27.9,29.09,29.05,
2023-11-09 00:35:00-05:00,28.85,26.44,28.02,28.26,30.87,28.51,27.8,29.08,29.05,
2023-11-09 00:35:30-05:00,28.84,26.44,28.04,28.23,30.84,28.49,27.8,29.08,29.06,
2023-11-09 00:36:00-05:00,28.84,26.45,28.04,28.28,30.87,28.48,27.8,29.05,29.06,
2023-11-09 00:36:30-05:00,28.84,26.45,,28.26,30.88,28.52,27.9,29.06,29.06,
2023-11-09 00:37:00-05:00,28.87,,28.03,28.28,30.85,28.52,27.9,29.04,29.05,
2023-11-09 00:37:30-05:00,28.84,26.47,28.02,28.28,30.84,28.52,27.8,29.02,29.05,
2023-11-09 00:38:00-05:00,28.82,26.45,28.03,28.31,30.81,28.49,,29.01,29.02,
2023-11-09 00:38:30-05:00,28.81,26.44,28.02,28.28,30.81,28.49,27.8,29.01,29.05,
