DATETIME,TANGARA_260A,TANGARA_4B1A,TANGARA_14D6,TANGARA_2B42,TANGARA_2E9A,TANGARA_2FF6,TANGARA_307A,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-11-11 00:00:00-05:00,36.0,36.0,,32.0,30.0,33.0,37.0,28.0,30.0,45.0
2023-11-11 01:00:00-05:00,36.0,36.0,,32.0,30.0,33.0,37.0,28.0,30.0,45.0
2023-11-11 02:00:00-05:00,37.0,37.0,,32.0,30.0,33.0,37.0,28.0,30.0,46.0
2023-11-11 03:00:00-05:00,36.0,37.0,,32.0,29.0,34.0,38.0,28.0,29.0,46.0
2023-11-11 04:00:00-05:00,35.0,36.0,,32.0,29.0,34.0,38.0,28.0,29.0,47.0
2023-11-11 05:00:00-05:00,35.0,36.0,,32.0,29.0,33.0,38.0,28.0,28.0,47.0
2023-11-11 06:00:00-05:00,35.0,35.0,,31.0,30.0,33.0,38.0,28.0,28.0,47.0
2023-11-11 07:00:00-05:00,35.0,34.0,,31.0,30.0,32.0,38.0,28.0,27.0,46.0
2023-11-11 08:00:00-05:00,33.0,33.0,,30.0,30.0,31.0,37.0,26.0,25.0,46.0
2023-11-11 09:00:00-05:00,31.0,32.0,,29.0,28.0,31.0,36.0,25.0,25.0,45.0
2023-11-11 10:00:00-05:00,28.0,32.0,,25.0,24.0,29.0,37.0,23.0,24.0,44.0
2023-11-11 11:00:00-05:00,26.0,31.0,,20.0,19.0,27.0,37.0,20.0,23.0,41.0
2023-11-11 12:00:00-05:00,24.0,31.0,,20.0,15.0,27.0,36.0,18.0,23.0,37.0
2023-11-11 13:00:00-05:00,23.0,32.0,,17.0,12.0,24.0,34.0,16.0,22.0,33.0
2023-11-11 14:00:00-05:00,21.0,32.0,,18.0,12.0,23.0,32.0,16.0,21.0,31.0
2023-11-11 15:00:00-05:00,20.0,33.0,,19.0,12.0,24.0,30.0,15.0,21.0,32.0
2023-11-11 16:00:00-05:00,22.0,34.0,,20.0,13.0,26.0,30.0,16.0,22.0,35.0
2023-11-11 17:00:00-05:00,23.0,36.0,,23.0,14.0,29.0,33.0,17.0,23.0,38.0
2023-11-11 18:00:00-05:00,25.0,36.0,,25.0,16.0,33.0,36.0,19.0,24.0,43.0
2023-11-11 19:00:00-05:00,26.0,38.0,,27.0,16.0,32.0,36.0,21.0,26.0,43.0
2023-11-11 20:00:00-05:00,30.0,42.0,,33.0,18.0,38.0,35.0,24.0,29.0,50.0
2023-11-11 21:00:00-05:00,35.0,44.0,,37.0,21.0,38.0,34.0,29.0,33.0,45.0
2023-11-11 22:00:00-05:00,38.0,43.0,,33.0,27.0,33.0,36.0,28.0,34.0,39.0
2023-11-11 23:00:00-05:00,37.0,41.0,,33.0,31.0,28.0,36.0,31.0,33.0,34.0
