DATETIME,TANGARA_260A,TANGARA_4B1A,TANGARA_2B42,TANGARA_2E9A,TANGARA_2FF6,TANGARA_307A,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-11-12 00:00:00-05:00,49.0,42.0,36.0,33.0,32.0,26.0,34.0,51.0,40.0
2023-11-12 01:00:00-05:00,50.0,42.0,36.0,33.0,32.0,26.0,34.0,52.0,40.0
2023-11-12 02:00:00-05:00,48.0,41.0,36.0,34.0,32.0,25.0,34.0,50.0,40.0
2023-11-12 03:00:00-05:00,47.0,41.0,36.0,35.0,32.0,25.0,33.0,50.0,40.0
2023-11-12 04:00:00-05:00,45.0,41.0,36.0,35.0,32.0,25.0,32.0,48.0,41.0
2023-11-12 05:00:00-05:00,46.0,40.0,37.0,36.0,33.0,25.0,32.0,47.0,41.0
2023-11-12 06:00:00-05:00,46.0,38.0,37.0,37.0,33.0,25.0,32.0,46.0,41.0
2023-11-12 07:00:00-05:00,45.0,37.0,37.0,37.0,34.0,25.0,32.0,44.0,42.0
2023-11-12 08:00:00-05:00,44.0,37.0,37.0,38.0,35.0,25.0,32.0,42.0,42.0
2023-11-12 09:00:00-05:00,41.0,35.0,36.0,38.0,34.0,25.0,30.0,38.0,41.0
2023-11-12 10:00:00-05:00,38.0,35.0,36.0,36.0,35.0,25.0,28.0,35.0,41.0
2023-11-12 11:00:00-05:00,36.0,36.0,36.0,33.0,37.0,26.0,27.0,35.0,43.0
2023-11-12 12:00:00-05:00,35.0,38.0,36.0,32.0,35.0,27.0,26.0,35.0,42.0
2023-11-12 13:00:00-05:00,35.0,40.0,36.0,32.0,33.0,26.0,26.0,35.0,40.0
2023-11-12 14:00:00-05:00,35.0,41.0,36.0,33.0,35.0,26.0,25.0,36.0,40.0
2023-11-12 15:00:00-05:00,37.0,44.0,36.0,36.0,42.0,26.0,26.0,38.0,43.0
2023-11-12 16:00:00-05:00,40.0,48.0,36.0,40.0,42.0,27.0,29.0,42.0,46.0
2023-11-12 17:00:00-05:00,46.0,52.0,40.0,44.0,42.0,28.0,33.0,46.0,49.0
2023-11-12 18:00:00-05:00,50.0,54.0,43.0,46.0,42.0,27.0,35.0,52.0,49.0
2023-11-12 19:00:00-05:00,53.0,55.0,46.0,48.0,42.0,28.0,36.0,54.0,48.0
2023-11-12 20:00:00-05:00,52.0,57.0,48.0,49.0,42.0,26.0,37.0,55.0,46.0
2023-11-12 21:00:00-05:00,55.0,57.0,52.0,45.0,46.0,25.0,38.0,57.0,47.0
2023-11-12 22:00:00-05:00,58.0,54.0,49.0,39.0,46.0,25.0,36.0,57.0,45.0
2023-11-12 23:00:00-05:00,56.0,44.0,49.0,29.0,40.0,25.0,28.0,52.0,40.0
