DATETIME,TANGARA_260A,TANGARA_4B1A,TANGARA_2B42,TANGARA_2E9A,TANGARA_2FF6,TANGARA_307A,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-11-11 00:00:00-05:00,,,65.65,,,,,59.09,
2023-11-11 00:00:30-05:00,59.43,69.97,65.68,60.56,70.43,67.26,99.9,59.06,
2023-11-11 00:01:00-05:00,59.48,70.05,65.94,61.07,70.61,67.48,99.9,59.03,
2023-11-11 00:01:30-05:00,59.53,70.04,65.92,61.02,70.8,67.51,99.9,59.02,64.11
2023-11-11 00:02:00-05:00,59.52,70.01,65.97,61.08,70.76,67.67,99.9,59.03,63.78
2023-11-11 00:02:30-05:00,59.55,70.04,66.07,61.38,70.96,67.67,99.9,58.89,63.76
2023-11-11 00:03:00-05:00,59.6,70.05,66.18,61.26,70.91,67.75,99.9,58.85,
2023-11-11 00:03:30-05:00,59.61,70.03,66.36,61.69,70.95,67.69,99.9,58.86,63.51
2023-11-11 00:04:00-05:00,59.61,70.05,66.47,61.73,70.94,67.69,99.9,58.8,63.77
2023-11-11 00:04:30-05:00,59.66,70.05,66.59,61.75,70.96,67.83,99.9,58.71,63.78
2023-11-11 00:05:00-05:00,59.66,70.08,66.46,61.44,71.06,67.79,99.9,58.66,63.55
2023-11-11 00:05:30-05:00,59.6,70.14,66.4,61.14,71.09,67.72,99.9,58.64,63.44
2023-11-11 00:06:00-05:00,59.67,69.94,66.47,62.08,71.11,67.72,99.9,58.64,63.52
2023-11-11 00:06:30-05:00,59.7,70.05,66.43,61.83,71.15,67.9,99.9,58.65,63.65
2023-11-11 00:07:00-05:00,59.67,69.98,66.29,61.29,71.15,67.72,99.9,58.67,63.69
2023-11-11 00:07:30-05:00,59.73,69.97,66.4,61.73,71.2,67.88,99.9,58.66,63.53
2023-11-11 00:08:00-05:00,59.83,70.03,66.41,61.35,71.23,67.81,,58.74,63.33
2023-11-11 00:08:30-05:00,59.76,69.96,66.31,62.14,71.33,67.99,99.9,58.64,63.69
2023-11-11 00:09:00-05:00,59.75,70.02,66.5,62.08,71.27,67.79,99.9,58.69,63.7
2023-11-11 00:09:30-05:00,59.73,70.01,66.23,61.98,71.29,67.98,99.9,58.65,63.73
2023-11-11 00:10:00-05:00,59.69,70.0,66.1,62.26,71.38,,99.9,58.74,63.85
2023-11-11 00:10:30-05:00,59.69,70.06,66.49,61.8,71.33,68.13,99.9,58.71,63.88
