DATETIME,TANGARA_260A,TANGARA_4B1A,TANGARA_2B42,TANGARA_2E9A,TANGARA_2FF6,TANGARA_307A,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-11-12 00:00:00-05:00,,,26.55,,,,,29.65,
2023-11-12 00:00:30-05:00,28.9,26.83,26.55,30.44,27.41,27.75,27.6,29.6,27.45
2023-11-12 00:01:00-05:00,28.85,26.83,26.55,30.47,27.37,27.72,27.6,29.6,27.52
2023-11-12 00:01:30-05:00,28.87,26.83,26.57,30.45,27.32,27.72,27.6,29.57,27.53
2023-11-12 00:02:00-05:00,28.87,26.83,26.55,30.44,27.31,27.7,27.5,29.6,27.58
2023-11-12 00:02:30-05:00,28.87,26.82,26.55,30.44,27.26,27.7,27.6,29.59,27.56
2023-11-12 00:03:00-05:00,28.82,26.79,26.58,30.4,27.26,27.68,27.6,29.6,27.61
2023-11-12 00:03:30-05:00,28.82,26.82,26.57,30.41,27.25,27.69,27.6,29.59,27.63
2023-11-12 00:04:00-05:00,28.81,26.82,26.57,30.4,27.23,27.68,27.6,29.6,27.59
2023-11-12 00:04:30-05:00,28.76,26.83,26.6,30.35,27.25,27.69,27.6,29.59,27.63
2023-11-12 00:05:00-05:00,28.76,26.81,26.6,30.38,27.23,27.66,27.6,29.59,27.61
2023-11-12 00:05:30-05:00,28.75,26.81,26.6,30.37,27.25,27.69,27.6,29.6,27.61
2023-11-12 00:06:00-05:00,28.72,26.81,26.6,30.38,27.19,27.69,27.6,29.59,27.58
2023-11-12 00:06:30-05:00,28.71,26.81,26.62,30.38,27.18,27.7,27.5,29.57,27.56
2023-11-12 00:07:00-05:00,28.71,26.78,26.62,30.35,27.21,27.66,27.6,29.6,27.58
2023-11-12 00:07:30-05:00,28.69,26.79,26.65,30.33,27.19,27.7,27.6,29.59,27.61
2023-11-12 00:08:00-05:00,28.68,26.79,26.62,30.37,27.21,27.7,27.5,29.59,27.59
2023-11-12 00:08:30-05:00,28.67,26.75,26.61,30.34,27.22,27.7,27.5,29.59,27.59
