DATETIME,TANGARA_260A,TANGARA_4B1A,TANGARA_14D6,TANGARA_2B42,TANGARA_2E9A,TANGARA_2FF6,TANGARA_307A,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-11-15 00:00:00-05:00,,,,27.29,,,,,27.11,
2023-11-15 00:00:30-05:00,,24.99,26.73,27.3,29.9,27.19,,27.2,27.11,26.94
2023-11-15 00:01:00-05:00,27.01,25.01,26.73,27.33,29.89,27.15,,27.2,27.13,27.01
2023-11-15 00:01:30-05:00,27.02,24.98,26.73,27.32,29.83,27.14,,27.1,27.11,27.08
2023-11-15 00:02:00-05:00,26.99,24.96,26.71,27.32,29.74,27.11,,27.2,27.11,27.13
2023-11-15 00:02:30-05:00,27.01,24.99,26.71,27.3,29.73,27.11,,27.1,27.14,27.13
2023-11-15 00:03:00-05:00,26.98,24.96,26.71,27.3,29.73,27.1,,27.0,27.14,27.11
2023-11-15 00:03:30-05:00,26.98,24.99,26.7,27.33,29.73,27.11,,27.0,27.15,27.13
2023-11-15 00:04:00-05:00,26.94,24.99,26.64,27.29,29.76,27.1,,27.0,27.17,27.1
2023-11-15 00:04:30-05:00,26.95,24.99,26.66,27.26,29.74,27.11,,27.1,27.18,27.11
2023-11-15 00:05:00-05:00,26.96,24.99,26.64,27.27,29.73,27.08,,27.1,27.2,27.11
2023-11-15 00:05:30-05:00,26.96,25.01,26.68,27.29,29.55,27.1,,27.1,27.2,27.08
2023-11-15 00:06:00-05:00,26.92,25.04,26.67,27.3,29.62,27.05,,27.1,27.17,27.1
2023-11-15 00:06:30-05:00,26.95,25.05,26.66,27.3,29.63,27.07,,27.1,27.18,27.08
2023-11-15 00:07:00-05:00,26.95,25.05,26.67,27.27,29.63,27.08,,27.1,27.18,27.08
2023-11-15 00:07:30-05:00,26.94,25.04,26.68,27.29,29.67,27.08,,27.2,27.2,27.1
2023-11-15 00:08:00-05:00,26.96,25.08,26.66,27.32,29.7,27.11,,27.2,27.21,27.14
2023-11-15 00:08:30-05:00,26.95,25.08,26.66,27.29,29.74,27.1,,27.2,27.18,27.14
2023-11-15 00:09:00-05:00,26.95,25.08,26.67,27.29,29.72,27.12,,27.3,27.18,27.17
