DATETIME,TANGARA_260A,TANGARA_2BDE,TANGARA_39D6,TANGARA_3B7E,TANGARA_3BEA,TANGARA_421A,TANGARA_5D62,TANGARA_5636,TANGARA_D282,TANGARA_4B1A,TANGARA_14D6,TANGARA_2B42,TANGARA_2E9A,TANGARA_2FF6,TANGARA_307A,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-11-16 00:00:00-05:00,,,,,,,,,,,,13.0,,,,,7.0,
2023-11-16 00:00:30-05:00,7.0,,,,,,,,,11.0,8.0,11.0,3.0,11.0,10.0,8.0,6.0,13.0
2023-11-16 00:01:00-05:00,9.0,,,,,,,,,13.0,6.0,13.0,5.0,11.0,11.0,12.0,7.0,14.0
2023-11-16 00:01:30-05:00,8.0,,,,,,,,,12.0,6.0,13.0,5.0,11.0,12.0,10.0,7.0,13.0
2023-11-16 00:02:00-05:00,8.0,,,,,,,,,13.0,6.0,12.0,4.0,11.0,11.0,10.0,6.0,14.0
2023-11-16 00:02:30-05:00,8.0,,,,,,,,,13.0,6.0,13.0,5.0,11.0,12.0,12.0,7.0,13.0
2023-11-16 00:03:00-05:00,8.0,,,,,,,,,14.0,6.0,12.0,5.0,11.0,11.0,8.0,6.0,13.0
2023-11-16 00:03:30-05:00,9.0,,,,,,,,,14.0,6.0,12.0,5.0,12.0,11.0,11.0,6.0,14.0
2023-11-16 00:04:00-05:00,8.0,,,,,,,,,15.0,6.0,13.0,4.0,11.0,11.0,10.0,7.0,14.0
2023-11-16 00:04:30-05:00,8.0,,,,,,,,,16.0,6.0,12.0,5.0,11.0,11.0,8.0,8.0,15.0
2023-11-16 00:05:00-05:00,8.0,,,,,,,,,21.0,6.0,13.0,5.0,11.0,10.0,9.0,7.0,14.0
2023-11-16 00:05:30-05:00,8.0,,,,,,,,,24.0,6.0,12.0,5.0,12.0,11.0,7.0,7.0,14.0
2023-11-16 00:06:00-05:00,8.0,,,,,,,,,26.0,6.0,11.0,5.0,12.0,11.0,8.0,8.0,13.0
2023-11-16 00:06:30-05:00,9.0,,,,,,,,,26.0,6.0,12.0,5.0,11.0,10.0,7.0,9.0,13.0
2023-11-16 00:07:00-05:00,8.0,,,,,,,,,25.0,6.0,11.0,5.0,11.0,11.0,7.0,9.0,13.0
2023-11-16 00:07:30-05:00,8.0,,,,,,,,,25.0,6.0,12.0,5.0,11.0,12.0,7.0,8.0,14.0
2023-11-16 00:08:00-05:00,8.0,,,,,,,,,25.0,6.0,13.0,5.0,12.0,12.0,6.0,9.0,14.0
2023-11-16 00:08:30-05:00,9.0,,,,,,,,,21.0,6.0,13.0,5.0,12.0,11.0,7.0,8.0,13.0
2023-11-16 00:09:00-05:00,8.0,,,,,,,,,25.0,8.0,12.0,5.0,11.0,10.0,6.0,8.0,13.0
2023-11-16 00:09:30-05:00,8.0,,,,,,,,,24.0,7.0,14.0,5.0,12.0,11.0,5.0,8.0,13.0
2023-11-16 00:10:00-05:00,9.0,,,,,,,,,23.0,8.0,13.0,5.0,12.0,11.0,6.0,9.0,14.0
2023-11-16 00:10:30-05:00,10.0,,,,,,,,,21.0,9.0,13.0,5.0,12.0,11.0,5.0,9.0,13.0
2023-11-16 00:11:00-05:00,9.0,,,,,,,,,21.0,11.0,12.0,5.0,11.0,12.0,5.0,8.0,14.0
2023-11-16 00:11:30-05:00,9.0,,,,,,,,,21.0,11.0,13.0,4.0,10.0,12.0,4.0,8.0,13.0
2023-11-16 00:12:00-05:00,8.0,,,,,,,,,20.0,11.0,13.0,4.0,11.0,12.0,4.0,9.0,14.0
2023-11-16 00:12:30-05:00,9.0,,,,,,,,,19.0,10.0,12.0,5.0,12.0,12.0,4.0,9.0,14.0
2023-11-16 00:13:00-05:00,9.0,,,,,,,,,18.0,11.0,12.0,5.0,12.0,12.0,5.0,8.0,14.0
2023-11-16 00:13:30-05:00,8.0,,,,,,,,,15.0,11.0,12.0,5.0,11.0,12.0,6.0,7.0,14.0
2023-11-16 00:14:00-05:00,8.0,,,,,,,,,10.0,12.0,12.0,4.0,11.0,11.0,6.0,7.0,14.0
2023-11-16 00:14:30-05:00,9.0,,,,,,,,,10.0,12.0,12.0,5.0,12.0,11.0,6.0,7.0,14.0
2023-11-16 00:15:00-05:00,8.0,,,,,,,,,11.0,11.0,12.0,5.0,11.0,11.0,6.0,7.0,14.0
2023-11-16 00:15:30-05:00,9.0,,,,,,,,,18.0,13.0,12.0,5.0,11.0,12.0,8.0,6.0,14.0
2023-11-16 00:16:00-05:00,9.0,,,,,,,,,17.0,12.0,11.0,5.0,11.0,11.0,6.0,8.0,14.0
2023-11-16 00:16:30-05:00,8.0,,,,,,,,,29.0,11.0,11.0,4.0,13.0,11.0,7.0,8.0,15.0
2023-11-16 00:17:00-05:00,9.0,,,,,,,,,22.0,12.0,11.0,4.0,12.0,11.0,7.0,10.0,14.0
2023-11-16 00:17:30-05:00,9.0,,,,,,,,,23.0,10.0,11.0,4.0,11.0,9.0,16.0,11.0,14.0
2023-11-16 00:18:00-05:00,9.0,,,,,,,,,21.0,12.0,11.0,5.0,11.0,11.0,21.0,11.0,15.0
2023-11-16 00:18:30-05:00,8.0,,,,,,,,,14.0,11.0,11.0,5.0,12.0,11.0,16.0,11.0,15.0
2023-11-16 00:19:00-05:00,9.0,,,,,,,,,32.0,11.0,11.0,4.0,11.0,12.0,16.0,13.0,14.0
2023-11-16 00:19:30-05:00,8.0,,,,,,,,,38.0,10.0,11.0,4.0,11.0,11.0,10.0,13.0,15.0
2023-11-16 00:20:00-05:00,8.0,,,,,,,,,48.0,10.0,11.0,4.0,11.0,11.0,10.0,13.0,15.0
2023-11-16 00:20:30-05:00,8.0,,,,,,,,,65.0,10.0,11.0,4.0,11.0,12.0,11.0,14.0,16.0
2023-11-16 00:21:00-05:00,8.0,,,,,,,,,51.0,10.0,11.0,5.0,11.0,11.0,11.0,14.0,15.0
2023-11-16 00:21:30-05:00,8.0,,,,,,,,,40.0,9.0,11.0,5.0,10.0,11.0,12.0,12.0,15.0
2023-11-16 00:22:00-05:00,8.0,,,,,,,,,47.0,9.0,10.0,5.0,11.0,11.0,10.0,11.0,14.0
2023-11-16 00:22:30-05:00,9.0,,,,,,,,,56.0,9.0,10.0,5.0,12.0,11.0,9.0,9.0,15.0
2023-11-16 00:23:00-05:00,8.0,,,,,,,,,46.0,9.0,10.0,6.0,11.0,12.0,9.0,9.0,16.0
2023-11-16 00:23:30-05:00,8.0,,,,,,,,,36.0,8.0,11.0,6.0,12.0,11.0,10.0,9.0,16.0
2023-11-16 00:24:00-05:00,8.0,,,,,,,,,19.0,8.0,10.0,5.0,12.0,12.0,10.0,9.0,15.0
2023-11-16 00:24:30-05:00,8.0,,,,,,,,,13.0,8.0,10.0,6.0,13.0,12.0,8.0,8.0,16.0
2023-11-16 00:25:00-05:00,8.0,,,,,,,,,10.0,7.0,10.0,5.0,12.0,11.0,8.0,8.0,16.0
2023-11-16 00:25:30-05:00,8.0,,,,,,,,,9.0,8.0,9.0,5.0,12.0,13.0,8.0,8.0,16.0
2023-11-16 00:26:00-05:00,8.0,,,,,,,,,14.0,9.0,9.0,4.0,12.0,13.0,9.0,8.0,16.0
2023-11-16 00:26:30-05:00,8.0,,,,,,,,,12.0,9.0,10.0,4.0,12.0,13.0,9.0,7.0,16.0
2023-11-16 00:27:00-05:00,8.0,,,,,,,,,14.0,8.0,9.0,4.0,11.0,13.0,9.0,7.0,16.0
2023-11-16 00:27:30-05:00,8.0,,,,,,,,,13.0,9.0,9.0,4.0,11.0,12.0,11.0,9.0,16.0
2023-11-16 00:28:00-05:00,8.0,,,,,,,,,12.0,,9.0,5.0,12.0,11.0,10.0,9.0,15.0
2023-11-16 00:28:30-05:00,8.0,,,,,,,,,11.0,10.0,10.0,5.0,11.0,11.0,9.0,16.0,15.0
2023-11-16 00:29:00-05:00,8.0,,,,,,,,,9.0,11.0,10.0,4.0,12.0,11.0,9.0,16.0,16.0
2023-11-16 00:29:30-05:00,9.0,,,,,,,,,9.0,,10.0,5.0,12.0,11.0,9.0,24.0,16.0
2023-11-16 00:30:00-05:00,8.0,,,,,,,,,,11.0,10.0,5.0,11.0,12.0,9.0,27.0,16.0
2023-11-16 00:30:30-05:00,7.0,,,,,,,,,8.0,12.0,10.0,5.0,11.0,12.0,11.0,28.0,15.0
2023-11-16 00:31:00-05:00,7.0,,,,,,,,,9.0,,10.0,5.0,13.0,12.0,12.0,35.0,16.0
2023-11-16 00:31:30-05:00,8.0,,,,,,,,,7.0,12.0,10.0,5.0,12.0,11.0,8.0,33.0,16.0
2023-11-16 00:32:00-05:00,8.0,,,,,,,,,7.0,11.0,10.0,5.0,13.0,11.0,9.0,31.0,17.0
2023-11-16 00:32:30-05:00,8.0,,,,,,,,,7.0,10.0,10.0,5.0,13.0,11.0,8.0,29.0,18.0
2023-11-16 00:33:00-05:00,8.0,,,,,,,,,8.0,11.0,11.0,5.0,13.0,10.0,10.0,33.0,19.0
2023-11-16 00:33:30-05:00,7.0,,,,,,,,,7.0,10.0,11.0,5.0,12.0,10.0,10.0,37.0,18.0
2023-11-16 00:34:00-05:00,8.0,,,,,,,,,7.0,9.0,11.0,5.0,12.0,10.0,10.0,42.0,17.0
2023-11-16 00:34:30-05:00,8.0,,,,,,,,,8.0,9.0,11.0,5.0,13.0,11.0,9.0,45.0,17.0
2023-11-16 00:35:00-05:00,8.0,,,,,,,,,8.0,9.0,10.0,6.0,14.0,10.0,8.0,44.0,18.0
2023-11-16 00:35:30-05:00,8.0,,,,,,,,,7.0,10.0,10.0,6.0,14.0,11.0,11.0,42.0,18.0
2023-11-16 00:36:00-05:00,8.0,,,,,,,,,6.0,10.0,10.0,5.0,12.0,11.0,9.0,44.0,17.0
2023-11-16 00:36:30-05:00,9.0,,,,,,,,,7.0,13.0,10.0,6.0,12.0,11.0,11.0,42.0,18.0
2023-11-16 00:37:00-05:00,9.0,,,,,,,,,6.0,13.0,10.0,5.0,12.0,12.0,10.0,38.0,18.0
2023-11-16 00:37:30-05:00,8.0,,,,,,,,,6.0,14.0,10.0,6.0,14.0,11.0,10.0,34.0,18.0
2023-11-16 00:38:00-05:00,8.0,,,,,,,,,5.0,15.0,10.0,5.0,13.0,11.0,8.0,29.0,16.0
2023-11-16 00:38:30-05:00,9.0,,,,,,,,,5.0,22.0,11.0,5.0,12.0,12.0,13.0,25.0,17.0
2023-11-16 00:39:00-05:00,8.0,,,,,,,,,5.0,30.0,11.0,5.0,13.0,12.0,13.0,24.0,19.0
2023-11-16 00:39:30-05:00,8.0,,,,,,,,,5.0,30.0,10.0,6.0,13.0,11.0,11.0,23.0,19.0
2023-11-16 00:40:00-05:00,7.0,,,,,,,,,5.0,30.0,11.0,5.0,12.0,12.0,10.0,18.0,18.0
2023-11-16 00:40:30-05:00,8.0,,,,,,,,,5.0,32.0,10.0,6.0,12.0,11.0,8.0,18.0,17.0
