DATETIME,TANGARA_260A,TANGARA_2BDE,TANGARA_39D6,TANGARA_3B7E,TANGARA_3BEA,TANGARA_421A,TANGARA_5D62,TANGARA_5636,TANGARA_D282,TANGARA_4B1A,TANGARA_14D6,TANGARA_2B42,TANGARA_2E9A,TANGARA_2FF6,TANGARA_307A,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-11-16 00:00:00-05:00,,,,,,,,,,,,25.89,,,,,26.44,
2023-11-16 00:00:30-05:00,27.01,,,,,,,,,23.72,25.81,25.89,28.69,26.53,23.45,26.6,26.46,26.19
2023-11-16 00:01:00-05:00,27.02,,,,,,,,,23.72,25.8,25.89,28.64,26.47,23.42,26.6,26.44,26.26
2023-11-16 00:01:30-05:00,27.03,,,,,,,,,23.74,25.78,25.88,28.64,26.44,23.45,26.5,26.44,26.31
2023-11-16 00:02:00-05:00,27.03,,,,,,,,,23.72,25.78,25.89,28.61,26.44,23.53,26.5,26.44,26.32
2023-11-16 00:02:30-05:00,27.01,,,,,,,,,23.72,25.78,25.89,28.59,26.42,23.59,26.5,26.44,26.32
2023-11-16 00:03:00-05:00,27.01,,,,,,,,,23.72,25.75,25.9,28.58,26.43,23.69,26.5,26.44,26.38
2023-11-16 00:03:30-05:00,26.99,,,,,,,,,23.75,25.74,25.9,28.58,26.39,23.76,26.5,26.47,26.38
2023-11-16 00:04:00-05:00,26.98,,,,,,,,,23.76,25.73,25.89,28.57,26.36,23.83,26.4,26.44,26.36
2023-11-16 00:04:30-05:00,26.98,,,,,,,,,23.76,25.73,25.92,28.55,26.35,23.92,26.4,26.43,26.39
2023-11-16 00:05:00-05:00,26.98,,,,,,,,,23.76,25.75,25.95,28.57,26.36,24.01,26.4,26.42,26.39
2023-11-16 00:05:30-05:00,26.99,,,,,,,,,23.76,25.77,25.96,28.54,26.36,24.08,26.4,26.42,26.36
2023-11-16 00:06:00-05:00,26.96,,,,,,,,,23.76,25.74,25.93,28.55,26.33,24.17,26.4,26.4,26.38
2023-11-16 00:06:30-05:00,26.95,,,,,,,,,23.76,25.73,25.96,28.55,26.35,24.25,26.4,26.4,26.4
2023-11-16 00:07:00-05:00,26.94,,,,,,,,,23.76,25.74,25.99,28.58,26.29,24.34,26.3,26.38,26.4
2023-11-16 00:07:30-05:00,26.96,,,,,,,,,23.79,25.74,25.99,28.58,26.28,24.39,26.3,26.39,26.43
2023-11-16 00:08:00-05:00,26.95,,,,,,,,,23.76,25.73,25.99,28.57,26.28,24.48,26.2,26.36,26.42
2023-11-16 00:08:30-05:00,26.94,,,,,,,,,23.78,25.74,25.99,28.57,26.26,24.55,26.1,26.39,26.4
2023-11-16 00:09:00-05:00,26.94,,,,,,,,,23.78,25.77,25.97,28.58,26.25,24.61,26.1,26.36,26.4
2023-11-16 00:09:30-05:00,26.96,,,,,,,,,23.79,25.75,25.95,28.55,26.23,24.66,26.1,26.36,26.4
2023-11-16 00:10:00-05:00,26.95,,,,,,,,,23.81,25.75,25.96,28.55,26.22,24.73,26.1,26.39,26.42
2023-11-16 00:10:30-05:00,26.96,,,,,,,,,23.81,25.73,25.97,28.58,26.19,24.77,26.0,26.38,26.4
2023-11-16 00:11:00-05:00,26.94,,,,,,,,,23.82,25.77,25.99,28.57,26.21,24.8,26.0,26.38,26.4
2023-11-16 00:11:30-05:00,26.94,,,,,,,,,23.86,25.75,25.95,28.55,26.16,24.82,25.9,26.35,26.4
2023-11-16 00:12:00-05:00,26.95,,,,,,,,,23.85,25.75,25.99,28.57,26.13,24.85,25.9,26.33,26.42
2023-11-16 00:12:30-05:00,26.96,,,,,,,,,23.85,25.74,25.99,28.59,26.12,24.95,25.9,26.33,26.42
2023-11-16 00:13:00-05:00,26.95,,,,,,,,,23.86,25.78,25.96,28.55,26.08,24.96,25.9,26.35,26.38
2023-11-16 00:13:30-05:00,26.95,,,,,,,,,23.86,25.75,25.96,28.58,26.06,24.99,25.9,26.36,26.36
2023-11-16 00:14:00-05:00,26.94,,,,,,,,,23.89,25.78,25.97,28.58,26.03,25.03,25.8,26.35,26.38
2023-11-16 00:14:30-05:00,26.94,,,,,,,,,23.89,25.77,25.99,28.59,26.03,25.06,25.7,26.38,26.35
2023-11-16 00:15:00-05:00,26.94,,,,,,,,,23.89,25.74,25.97,28.61,26.01,25.09,25.7,26.38,26.32
2023-11-16 00:15:30-05:00,26.92,,,,,,,,,23.94,25.73,25.93,28.59,25.99,25.13,25.7,26.4,26.31
2023-11-16 00:16:00-05:00,26.91,,,,,,,,,23.89,25.75,25.93,28.64,25.99,25.15,25.6,26.35,26.32
2023-11-16 00:16:30-05:00,26.89,,,,,,,,,23.9,25.75,25.93,28.65,25.96,25.17,25.6,26.35,26.34
2023-11-16 00:17:00-05:00,26.89,,,,,,,,,23.9,25.75,25.9,28.67,25.98,25.17,25.6,26.33,26.31
2023-11-16 00:17:30-05:00,26.87,,,,,,,,,23.89,25.71,25.95,28.67,25.96,25.22,25.5,26.35,26.31
2023-11-16 00:18:00-05:00,26.84,,,,,,,,,23.9,25.73,25.93,28.67,25.95,25.22,25.5,26.35,26.28
2023-11-16 00:18:30-05:00,26.84,,,,,,,,,23.9,25.7,25.95,28.68,25.91,25.23,25.5,26.36,26.28
2023-11-16 00:19:00-05:00,26.84,,,,,,,,,23.89,25.68,25.96,28.67,25.92,25.26,25.5,26.36,26.25
2023-11-16 00:19:30-05:00,26.78,,,,,,,,,23.89,25.64,25.96,28.68,25.91,25.24,25.4,26.38,26.28
2023-11-16 00:20:00-05:00,26.75,,,,,,,,,23.9,25.66,25.97,28.68,25.89,25.31,25.4,26.4,26.26
2023-11-16 00:20:30-05:00,26.75,,,,,,,,,23.9,25.66,25.99,28.71,25.91,25.27,25.4,26.4,26.26
2023-11-16 00:21:00-05:00,26.72,,,,,,,,,23.92,25.64,25.97,28.71,25.85,25.3,25.4,26.42,26.26
2023-11-16 00:21:30-05:00,26.71,,,,,,,,,23.9,25.66,26.0,28.71,25.82,25.34,25.4,26.42,26.25
2023-11-16 00:22:00-05:00,26.69,,,,,,,,,23.94,25.66,26.02,28.75,25.78,25.37,25.3,26.4,26.28
2023-11-16 00:22:30-05:00,26.65,,,,,,,,,23.94,25.64,25.99,28.75,25.77,25.37,25.3,26.43,26.26
2023-11-16 00:23:00-05:00,26.65,,,,,,,,,23.95,25.67,25.99,28.79,25.78,25.4,25.2,26.39,26.25
2023-11-16 00:23:30-05:00,26.62,,,,,,,,,23.96,25.63,26.0,28.78,25.8,25.41,25.3,26.4,26.24
2023-11-16 00:24:00-05:00,26.62,,,,,,,,,23.95,25.66,26.0,28.76,25.84,25.41,25.2,26.39,26.24
