DATETIME,TANGARA_260A,TANGARA_4B1A,TANGARA_14D6,TANGARA_2B42,TANGARA_2E9A,TANGARA_2FF6,TANGARA_307A,TANGARA_1712,TANGARA_48C6,TANGARA_532E,TANGARA_F1AE,TANGARA_06BE,TANGARA_2BBA,TANGARA_2BDE,TANGARA_39D6,TANGARA_3B7E,TANGARA_3BEA,TANGARA_421A,TANGARA_5D62,TANGARA_5636,TANGARA_D282
2023-10-29 00:00:00-05:00,55.0,64.0,63.0,53.0,33.0,55.0,42.0,32.0,44.0,32.0,58.0,61.0,,,,,,,,,
2023-10-29 01:00:00-05:00,54.0,65.0,62.0,53.0,33.0,55.0,42.0,31.0,43.0,32.0,58.0,61.0,,,,,,,,,
2023-10-29 02:00:00-05:00,54.0,65.0,63.0,52.0,33.0,54.0,42.0,31.0,43.0,33.0,59.0,61.0,,,,,,,,,
2023-10-29 03:00:00-05:00,54.0,64.0,63.0,52.0,33.0,54.0,41.0,31.0,43.0,33.0,59.0,61.0,,,,,,,,,
2023-10-29 04:00:00-05:00,53.0,64.0,63.0,52.0,34.0,54.0,41.0,31.0,43.0,34.0,59.0,60.0,,,,,,,,,
2023-10-29 05:00:00-05:00,54.0,63.0,63.0,52.0,35.0,54.0,42.0,31.0,45.0,35.0,59.0,60.0,,,,,,,,,
2023-10-29 06:00:00-05:00,55.0,62.0,63.0,52.0,37.0,54.0,42.0,32.0,46.0,37.0,58.0,61.0,,,,,,,,,
2023-10-29 07:00:00-05:00,55.0,62.0,63.0,53.0,38.0,55.0,43.0,32.0,46.0,38.0,58.0,61.0,,,,,,,,,
2023-10-29 08:00:00-05:00,55.0,59.0,62.0,53.0,38.0,55.0,42.0,31.0,46.0,37.0,57.0,62.0,,,,,,,,,
2023-10-29 09:00:00-05:00,54.0,55.0,60.0,52.0,36.0,56.0,40.0,31.0,44.0,36.0,55.0,62.0,,,,,,,,,
2023-10-29 10:00:00-05:00,52.0,53.0,58.0,50.0,34.0,55.0,39.0,29.0,42.0,33.0,54.0,62.0,,,,,,,,,
2023-10-29 11:00:00-05:00,49.0,52.0,57.0,50.0,32.0,56.0,39.0,29.0,42.0,31.0,53.0,62.0,,,,,,,,,
2023-10-29 12:00:00-05:00,48.0,50.0,56.0,50.0,31.0,57.0,40.0,28.0,42.0,29.0,53.0,63.0,,,,,,,,,
2023-10-29 13:00:00-05:00,47.0,52.0,56.0,50.0,30.0,58.0,41.0,29.0,43.0,28.0,52.0,65.0,,,,,,,,,
